Индекс,Тип региона,Регион,Тип района,Район,Тип города,Город,Тип н/п,Н/п,Код КЛАДР,Код ФИАС,Уровень по ФИАС,Признак центра района или региона,Код ОКАТО,Код ОКТМО,Код ИФНС,Часовой пояс,Широта,Долгота,Федеральный округ,Население
601640,обл,Владимирская,р-н,Александровский,г,Карабаново,,,3300200200000,4f178a20-53a7-4032-b62b-7337315e0fc1,4: город,0,17205505000,17605105001,3339,UTC107,56.3133447,38.7034267,Центральный,14868
601010,обл,Владимирская,р-н,Киржачский,г,Киржач,,,3300700100000,115db243-1238-412f-a2a1-6d53ef30ba9e,4: город,1,17230501000,17630101001,3316,UTC108,56.1485263,38.8635035,Центральный,30044
601900,обл,Владимирская,,,г,Ковров,,,3300000400000,0b4978e2-e64c-4db1-b84d-93cf34bdb04b,4: город,0,17425000000,17725000001,3332,UTC109,56.3553895,41.3169568,Центральный,145492
601780,обл,Владимирская,р-н,Кольчугинский,г,Кольчугино,,,3300900100000,8f9faad4-ff93-471d-b0c0-c8e5c0162dee,4: город,1,17240501000,17640101001,3326,UTC110,56.3327616,39.391201,Центральный,45804
601110,обл,Владимирская,р-н,Петушинский,г,Костерево,,,3301200200000,50b6831d-52f4-4905-93d7-8e42812cd947,4: город,0,17246510000,17646110001,3316,UTC111,55.9336424,39.624822,Центральный,9136
601570,обл,Владимирская,р-н,Гусь-Хрустальный,г,Курлово,,,3300500200000,4f68f8c7-bf54-48a6-8165-0313d75a83c2,4: город,0,17220515000,17620115001,3304,UTC112,55.4525994,40.6124362,Центральный,6791
601240,обл,Владимирская,р-н,Собинский,г,Лакинск,,,3301400200000,67eb946d-db25-4ad2-9852-6436ed35b39e,4: город,0,17250503000,17650110001,3327,UTC113,56.0180614,39.9564706,Центральный,15707
602101,обл,Владимирская,р-н,Меленковский,г,Меленки,,,3301000100000,710f2d29-5c22-4d4d-be27-04713381c676,4: город,1,17242501000,17642101001,3334,UTC114,55.3387017,41.634124,Центральный,15208
602205,обл,Владимирская,,,г,Муром,,,3300000500000,0d7d5d87-f0a6-428f-b655-d3be106c64a2,4: город,0,17435000000,17735000001,3334,UTC115,55.5632276,42.023006,Центральный,116078
601140,обл,Владимирская,р-н,Петушинский,г,Петушки,,,3301200100000,b7ba6bfc-4b0c-4b05-88bd-267d50b36850,4: город,1,17246501000,17646101001,3316,UTC116,55.9297657,39.4507913,Центральный,15167
601120,обл,Владимирская,р-н,Петушинский,г,Покров,,,3301200300000,f1c2252b-c3da-43f4-86ea-5f05812e99d5,4: город,0,17246520000,17646120001,3316,UTC117,55.9167118,39.1733641,Центральный,17762
